age,gender,time,genres,devices,D3a,M1a,L1a,L3a,D1a,L2a,D2a,M3a,M2a,B,M1b,L2b,M2b,M3b,L3b,L1b,D1b,D2b,D3b
30,1,5,1067176,1,1,3,5,2,4,4,4,2,2,4,2,2,2,1,1,3,4,4,3
44,1,1,67108866,1,5,3,5,1,4,3,3,2,2,5,2,2,3,1,1,2,5,5,5
27,2,3,74481667,13,4,2,4,1,4,2,3,2,2,4,2,3,3,2,1,3,4,4,3
28,2,4,135815426,1,4,3,4,2,5,3,4,3,4,5,4,3,4,2,1,4,5,5,3
21,2,2,201343008,1,3,2,3,1,4,2,5,2,3,3,3,5,3,2,1,4,5,5,4
26,2,4,5259267,1,3,4,3,1,4,3,4,3,4,5,4,4,4,2,1,3,5,4,2
23,2,3,240148483,1,2,3,4,3,5,4,2,2,3,5,3,3,4,1,2,3,5,4,1
23,2,2,1179651,3,2,4,4,2,4,3,3,3,2,5,3,4,3,2,2,3,4,4,2
28,1,4,67190819,5,3,3,2,1,5,1,5,3,2,4,2,1,2,2,1,3,4,4,5
27,2,5,1169409,1,1,2,3,1,4,2,3,1,2,4,2,2,3,1,1,2,4,3,1
29,2,2,51396609,2,3,1,4,1,5,4,5,2,2,4,4,3,3,2,1,5,4,5,2
32,2,1,213838633,1,2,4,3,1,3,3,2,1,2,3,5,4,2,1,1,4,5,2,2
33,2,3,148389889,1,2,3,4,1,4,3,2,2,2,4,3,4,2,1,3,3,4,3,1
26,1,3,1342242898,13,1,2,5,1,5,2,3,1,3,5,3,3,4,1,1,4,5,4,4
